hotel;price;puntuacion;distancia_centro;descripcion;;;;;;;;;;;
Village Vistello;$ 2.308.669;10;a 13,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dpto 3 dormitorios de categoría Obispo Trejo;$ 2.816.083;4;a 1 km del centro;Departamento de 3 dormitorios;;;;;;;;;;;
Nueva Cordoba 1 Dormitorio (Plaza España);$ 3.177.907;5;a 1,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Apart Hotel Bari;$ 2.488.918;9;a 2 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
La Posada De Vito;$ 1.185.199;9;a 31,7 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Cabañas Kehuen;$ 933.344;8,7;a 93 km del centro;Casa de 1 dormitorio;;;;;;;;;;;
Cabaña economica Bialet masse a 9 km de Cosquín;$ 1.111.124;2,5;a 33 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Terra Nostra;$ 2.938.307;9,4;a 52,5 km del centro;Casa de 2 habitaciones;;;;;;;;;;;
Casa en Villa Carlos Paz solo apto para familias;$ 1.851.874;N/A;a 29,1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Cabaña Las Piedras A;$ 2.222.249;10;a 38,4 km del centro;Casa de 2 habitaciones;;;;;;;;;;;
El oasis loft;$ 2.313.333;N/A;a 15,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
EL OASIS Habitaciones;$ 2.167.378;8,4;a 15,5 km del centro;Habitación Doble Pequeña;;;;;;;;;;;
Villa sol;$ 2.413.609;8,5;a 34,7 km del centro;Casa de 2 dormitorios;;;;;;;;;;;
Argent hous;$ 2.711.143;4;a 5,1 km del centro;Casa de 3 habitaciones;;;;;;;;;;;
2 Dormitorios frente al Palacio Ferreyra;$ 6.172.913;3,5;a 1,1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
EL oasis Depto;$ 2.919.102;10;a 15,5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Casa De Campo La Melisa Frente Al Río;$ 4.456.843;N/A;a 38,7 km del centro;Casa de 2 habitaciones;;;;;;;;;;;
Casa barrio Rosedal;$ 5.876.613;N/A;a 4,5 km del centro;Villa de 3 dormitorios;;;;;;;;;;;
Bucanaan hostel boutique;$ 746.237;8,5;a 1,3 km del centro;Cama en habitación compartida de 6 camas;;;;;;;;;;;
CASA ARTIGAS Hostel;$ 438.652;8,3;a 1,1 km del centro;Litera en habitación mixta compartida;;;;;;;;;;;
Aldea Hostel;$ 710.772;9,1;a 0,8 km del centro;Cama en un dormitorio compartido de 6 camas con baño compartido;;;;;;;;;;;
Why Not Guemes;$ 592.600;8,4;a 1,2 km del centro;Litera en habitación mixta compartida;;;;;;;;;;;
Rupestre Hostel;$ 592.600;7,3;a 1 km del centro;Litera en habitación mixta compartida;;;;;;;;;;;
El hospedaje familiar Hogar Dulce cercano a la Universidad Católica de Córdoba ofrece precios accesibles por noche ideal para estadias temporales;$ 740.750;6,9;a 1,6 km del centro;Cama individual en habitación compartida masculina;;;;;;;;;;;
