hotel;price;puntuacion;distancia_centro;descripcion;;;;;;;;;;;
DPTO C/PILE ASADOR QUINCHO - VISTA A LAS SIERRAS;$ 1.165.995;8,9;a 1,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Art & cozy home: ‘studiotubarca’;$ 839.516;1;a 500 m del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Gran Parana;$ 877.047;N/A;a 1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
-El descanso-;$ 1.067.027;7;a 5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Departamentos General Paz by Lugar;$ 1.165.263;10;a 1,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Viaggiato Catamarca;$ 1.288.904;8,8;a 2,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento Traful;$ 776.552;N/A;a 2,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
mariano moreno;$ 821.491;5,9;a 1,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Cascadas Departamentos;$ 960.231;6,6;a 2,3 km del centro;Departamento - Planta alta;;;;;;;;;;;
Temporary Home 4 Pax Centro zona Capitalinas;$ 1.282.594;10;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento zona norte cerca estadio kempes; shopping; botanico; estación tren de las sierras;$ 740.750;9,9;a 4,2 km del centro;Departamento de 1 dormitorio;;;;;;;;
Departamento de 1 dormitorio con cochera y piscina;$ 1.259.274;10;a 7,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
HOTEL HM;$ 987.666;6,1;a 1 km del centro;Habitación Triple con baño privado;;;;;;;;;;;
Dpto tipo Duplex c pileta Nva Cba;$ 1.133.987;6;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Novum Suites;$ 927.025;6,8;a 1 km del centro;Habitación Doble Executive;;;;;;;;;;;
Temporario torres;$ 1.209.891;1;a 7,8 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Santorini Bed II;$ 797.540;9;a 14,7 km del centro;Casa de 1 dormitorio;;;;;;;;;;;
B131 - Argentina;$ 2.076.842;8,8;a 450 m del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamentos en Gral Paz a pasos de clínicas;$ 944.456;9,8;a 2,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento Fragata - Alto Alberdi;$ 844.454;8,8;a 3,3 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Bedoya;$ 1.111.124;N/A;a 2,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
ARTEDPTO;$ 944.456;9,8;a 11,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Richardson;$ 1.007.419;1;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Nueva Córdoba Duomo;$ 1.747.757;9,2;a 1 km del centro;Departamento;;;;;;;;;;;
Departamento Bv Illia By Lugar D276;$ 1.165.254;10;a 0,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Em Departamento Amoblado Cordoba;$ 1.414.155;9,4;a 4,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Espacio C Av Poeta Lugones GRAN VISTA;$ 1.265.813;9,5;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Tiempos Caribu;$ 934.350;10;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
alto villa sol;$ 1.235.497;7,5;a 7,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Apartamentos Santa Rosa 1B;$ 1.067.054;8,5;a 3,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Cordoba Yolanda Hotel;$ 1.165.446;7,9;a 2 km del centro;Habitación Doble - 1 o 2 camas;;;;;;;;;;;
La Vecindad;$ 419.758;6,2;a 3,9 km del centro;Departamento Superior;;;;;;;;;;;
Villa Cabrera Apart and Suites;$ 1.125.939;9;a 4 km del centro;Departamento Estudio;;;;;;;;;;;
Suquia;$ 629.637.119;N/A;a 3,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
departamento metros nuevo centro shopping;$ 1.042.975;8,8;a 2,2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Nuevo departamento en Nueva Cordoba;$ 1.007.419;5,5;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Camino Real Hotel;$ 1.266.682;6,8;a 0,9 km del centro;Habitación Doble - 1 o 2 camas;;;;;;;;;;;
Dto en Barrio Gral Paz;$ 661.242;N/A;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Marcelo T de Alvear 360;$ 1.469.153;N/A;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Cordoba Inn departamentos temporarios;$ 1.414.749;6,8;a 450 m del centro;Departamento con balcón (2 adultos);;;;;;;;;;;
Silvana Village;$ 1.469.153;7,5;a 1,3 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Tranquilidad en cosquin;$ 566.673;4,8;a 34 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
mate! Hostel;$ 790.133;8,9;a 0,6 km del centro;Habitación Doble con baño compartido;;;;;;;;;;;
Independencia Housing;$ 876.453;N/A;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Apartamentos Santa Rosa PB3;$ 1.756.765;9,4;a 2,9 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Departamento con PILETA en GENERAL PAZ zona clínica Reina Fabiola;$ 1.382.732;8;a 1,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Dpto en terraforte 2 temporario;$ 797.540;N/A;a 6,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Duplex premium a 5 min del centro en Córdoba;$ 1.154.335;7,3;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Especial;$ 1.091.371;N/A;a 0,8 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Hotel Alto Parana;$ 1.315.141;7,1;a 0,7 km del centro;Habitación Doble Estándar - 1 o 2 camas;;;;;;;;;;;
Nva Cba. Bs As 441;$ 936.061;7,2;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
TRIPLEX Pet Friendly con COCHERA y TERRAZA con asador;$ 1.759.280;8,8;a 2,5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Temporario ciudad gama;$ 1.209.891;10;a 6,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Pekistay900 apartamento moderno y cómodo muy buena ubicación;$ 1.111.124;1;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
MyM Amoblado Categoría Luxury con pileta Excelente Ubicación;$ 1.483.923;N/A;a 4,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
NH Córdoba Urbano;$ 1.966.635;8,2;a 0,6 km del centro;Habitación Doble Estándar - 1 o 2 camas;;;;;;;;;;;
Dpto doña coca alto villasol gama;$ 1.057.790;10;a 7,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Independencia 497; Dpto amoblado;$ 2.172.865;7,5;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
Departamento en Cañada;$ 1.200.014;N/A;a 2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Depto Pleno Nva Cba 2 personas;$ 1.398.535;N/A;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Apart Hotel Magali;$ 1.453.149;7,8;a 0,9 km del centro;Departamento;;;;;;;;;;;
Departamento elegante y completo exelente ubicación a metros de la terminal;$ 1.222.237;7,5;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
2 DORMITORIOS CORAZON NUEVA CORDOBA c BALCON TERRAZA vista increible;$ 2.107.935;6,8;a 0,9 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Depto en complejo con cochera;$ 1.344.460;N/A;a 5,5 km del centro;Departamento de 1 Dormitorio con balcón y vistas a la ciudad;;;;;;;;;;;
Jardines del Boulevard 3; Nueva cordoba;$ 2.222.249;8,5;a 0,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
El apartamento Nueva Cordoba;$ 1.333.349;N/A;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento completo y elegante en Chacabuco;$ 1.444.462;8,2;a 0,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Villa Sol;$ 1.283.966;9,4;a 13 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
M65 Luxury Apartments;$ 2.308.669;9,5;a 2,4 km del centro;Departamento Estándar;;;;;;;;;;;
Departamento Fructuoso Rivera By Lugar D-241;$ 1.664.775;N/A;a 1,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
NH Córdoba Panorama;$ 2.337.705;7,9;a 0,6 km del centro;Habitación Doble Estándar - 1 o 2 camas;;;;;;;;;;;
Altos de Chacabuco Planta Alta Apartamento temporario amoblado premium con cochera gratis;$ 1.481.499;9,3;a 4,6 km del centro;Departamento;;;;;;;;;;;
2 Dormitorios Super Luminoso;$ 2.107.935;7,8;a 1,7 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Confortable depto en Torres H Guemes;$ 1.660.742;N/A;a 1,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Gran Rex Hotel;$ 1.570.883;7,4;a 0,9 km del centro;Habitación Doble - 1 o 2 camas;;;;;;;;;;;
Vilaut Smart Flat;$ 1.728.416;8,8;a 400 m del centro;Estudio Estándar (2 adultos);;;;;;;;;;;
Estudio - apartamento cómodo y acogedor SS1;$ 1.321.461;9,4;a 450 m del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Selina Nueva Cordoba;$ 1.275.735;8,2;a 0,8 km del centro;Habitación Estándar;;;;;;;;;;;
Alquiler por día Cerro de las Rosas;$ 1.160.508;9,5;a 6,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Nuevo Illia; Nueva cordoba;$ 2.098.790;7,7;a 0,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
King David Flat Hotel - Argentina;$ 2.578.906;8,1;a 0,6 km del centro;Departamento Superior;;;;;;;;;;;
Urban Pool & Grill;$ 1.049.395;4;a 7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
HOUSING CORDOBA - Cañada;$ 2.075.928;9;a 0,8 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Allogio Cordoba Apartments;$ 1.777.799;7;a 0,9 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Gran Hotel Victoria Cordoba Argentina;$ 1.901.257;7,9;a 300 m del centro;Suite Executive;;;;;;;;;;;
ILLIA 164; Nueva Cordoba;$ 1.993.851;7,7;a 0,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
Parana apartment;$ 1.679.032;9,8;a 0,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
DPTO CHACABUCO pileta; quincho; asador y gimnasio;$ 2.222.249;8,4;a 0,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;
Olmos Suites;$ 2.914.987;8,9;a 500 m del centro;Estudio Estándar;;;;;;;;;;;
Casa.Temporal2;$ 1.018.531;N/A;a 12,2 km del centro;Casa de 1 dormitorio;;;;;;;;;;;
Amérian Cordoba Park Hotel;$ 2.673.758;7,6;a 0,6 km del centro;Habitación Doble Estándar;;;;;;;;;;;
Departamento illia;$ 1.511.129;4,5;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Nva Cba Para Descansar y Disfrutar;$ 1.495.326;N/A;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Jardines del Boulevard;$ 2.469.165;8,1;a 0,6 km del centro;Departamento;;;;;;;;;;;
Dpto San Martín - 3Pax.;$ 1.728.416;9,5;a 200 m del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Lacandona Hostel;$ 1.176.932;7,9;a 0,7 km del centro;Habitación Cuádruple Clásica;;;;;;;;;;;
Duplex Ocampo;$ 1.244.459;N/A;a 7,7 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Orfeo Suites Cordoba;$ 3.277.323;7,6;a 6,4 km del centro;Habitación Doble Estándar - 2 camas;;;;;;;;;;;
M65 Luxury Suit;$ 2.277.119;N/A;a 2,4 km del centro;Habitación Doble Deluxe - 1 o 2 camas;;;;;;;;;;;
Departamento Nueva Córdoba;$ 1.846.936;N/A;a 0,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
cabaña;$ 629.637;4,5;a 33 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Rental In The Sky Lujoso Departamento Temporario en Nueva Cordoba;$ 2.497.561;10;a 1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Amplio Dpto Céntrico - 3Pax. By Inside;$ 1.530.882;1;a 200 m del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Alquiler temporario;$ 2.370.399;N/A;a 4,7 km del centro;Departamento de 3 dormitorios;;;;;;;;;;;
Torre Magna Cuarta; Nueva Córdoba.;$ 2.098.790;N/A;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
Cordoba comfy apartment;$ 1.604.957;1;a 350 m del centro;Departamento de 2 dormitorios;;;;;;;;;;;
CASONA REAL;$ 1.469.153;9;a 1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Chacabuco 550;$ 1.665.040;10;a 0,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Casaquinta;$ 1.358.041;9;a 4,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Ciudad Prado Hotel;$ 2.359.214;9,2;a 3,1 km del centro;Habitación Doble Deluxe;;;;;;;;;;;
Cordoba capital Departamento Gala;$ 1.358.041;9,5;a 2,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Holiday Inn Cordoba; an IHG Hotel;$ 3.823.548;8,8;a 6,8 km del centro;Habitación Estándar;;;;;;;;;;
Casi Guemes Hotel;$ 1.131.417;5,2;a 0,9 km del centro;Habitación Doble - 1 o 2 camas;;;;;;;;;;;
Sol de Piedra Apart; Suites & Spa;$ 2.580.278;8,4;a 0,9 km del centro;Habitación Triple Estándar;;;;;;;;;;
DEPARTAMENTO 2 DORMITORIOS EN LA MEJOR UBICACION DE CBA;$ 1.659.773;6,8;a 0,6 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Pilsen II Guemes;$ 1.562.433;8,2;a 0,8 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Yrigoyen 111 Hotel;$ 3.057.814;9,1;a 0,7 km del centro;Habitación Doble Estándar - 2 camas;;;;;;;;;;;
complejo cardinales;$ 2.000.024;1;a 1,3 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Tú mejor estadía;$ 1.259.274;1;a 1,9 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Hostel Spa Mediterranea;$ 1.326.874;8,6;a 0,9 km del centro;Habitación Doble Estándar - 2 camas;;;;;;;;;;;
Alberdi con pile !;$ 1.783.972;N/A;a 1,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Kube Apartments Express;$ 2.665.464;8,5;a 1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Windsor Hotel;$ 3.532.964;8,7;a 250 m del centro;Habitación Deluxe - 1 cama grande;;;;;;;;;;;
Refugio en altura;$ 1.741.941;9,2;a 4,4 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
departamento completo en nueva Córdoba;$ 1.333.349;1;a 0,7 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Depto Saint michel cordoba centro;$ 1.900.023;9,7;a 150 m del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Espacioso Dpto Céntrico - 4Pax. By Inside;$ 1.530.882;7;a 200 m del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Depto Manzana Jesuita - 4Pax. By Inside;$ 1.654.341;9,8;a 200 m del centro;Departamento de 2 dormitorios;;;;;;;;;;;
HOUSING CORDOBA - PB - Paso de los Andes;$ 1.719.271;9;a 1,6 km del centro;Casa de 2 habitaciones;;;;;;;;;;;
Departamento Mariangeles DISTRITO F;$ 76.500.910;9,5;a 1,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Ituzaingo 783;$ 1.993.851;7,6;a 1,1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Dept Amoblado a 2 cuadras del Hospital Cordoba;$ 1.481.499;N/A;a 2,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Independencia 1096; Nueva Cordoba;$ 2.098.790;6;a 1,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
Citadina Alojamiento General Paz Departamento Premium con cochera y amenities;$ 2.695.094;10;a 1,5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Nueva Cordoba;$ 1.783.972;N/A;a 1,7 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
Savannah Cordoba Hotel;$ 3.693.871;7,2;a 0,6 km del centro;Habitación Cuádruple Estándar;;;;;;;;;;;
Depto Río Negro;$ 1.477.548;N/A;a 2,2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Casa de Flores; Agua y Musica;$ 1.222.237;10;a 15 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
Stay Suites;$ 3.432.130;8,9;a 1,1 km del centro;Habitación Doble Deluxe - 1 o 2 camas;;;;;;;;;;;
Apartamento Nueva Córdoba;$ 1.888.911;N/A;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
MyM Amoblado en Córdoba Capital;$ 1.925.949;9,8;a 4,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
CASA AMPLIA Y CONFORTABLE;$ 2.098.790;10;a 2,8 km del centro;Casa de 3 habitaciones;;;;;;;;;;;
El Refugio;$ 944.456;N/A;a 14,1 km del centro;Habitación Doble - 2 camas;;;;;;;;;;;
Amoblado en Güemes;$ 2.222.249;7,5;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Cenote de Cofico;$ 4.074.123;10;a 2,2 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Mairea II; Nueva Cordoba;$ 2.246.940;7,8;a 1,1 km del centro;Departamento de 1 dormitorio;;;;;;;;;;
Hotel Viena;$ 1.906.744;8,2;a 1 km del centro;Habitación Doble - 1 o 2 camas;;;;;;;;;;;
La casa de los pájaros;$ 1.333.349;N/A;a 31,1 km del centro;Casa de 2 habitaciones;;;;;;;;;;;
Departamento Crisol;$ 1.888.911;10;a 1,4 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
HERMOSO DÚPLEX DE CATEGORÍA COMPLETAMENTE EQUIPADO;$ 2.716.082;7;a 1,5 km del centro;Departamento Dúplex;;;;;;;;;;;
Casa Roque Funes; ubicado en Cerro de las Rosas Córdoba; Ofrece; Asador; Pileta; Cercanias; Estadio Kempes; aeropuerto Ambrosio Taravella; Orfeo Superdomo; Córdoba Shopping Mall; Sanatorio Allende; INCLUYE IMPUESTOS Y CARGOS;$ 2.458.191;9,3;a 7,2 km del centro;Casa de 1 dormitorio
Casa Urbana Hotel;$ 1.702.215;7,9;a 0,9 km del centro;Habitación Doble Estándar;;;;;;;;;;;
Azur Real Hotel Boutique & Spa;$ 7.099.133;9,1;a 300 m del centro;Habitación Doble Superior;;;;;;;;;;;
Beautiful and cozy apartment;$ 1.679.032;1;a 4,5 km del centro;Casa de 1 dormitorio;;;;;;;;;;;
Hotel de la Cañada;$ 2.962.998;8,5;a 0,9 km del centro;Habitación Doble Superior;;;;;;;;;;;
Casa Gandhi - Valle Escondido;$ 1.888.911;10;a 10,2 km del centro;Casa de 1 dormitorio;;;;;;;;;;;
Parque Las tejas Nva Cba;$ 2.000.024;7;a 1,6 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
Departamento de 2 dormitorios en Nueva Córdoba;$ 1.962.246;N/A;a 1,5 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
DEPARTAMENTO ALDEA DEL PUENTE VILLA CARLOS PAZ;$ 1.604.957;N/A;a 30,1 km del centro;Departamento de 2 dormitorios;;;;;;;;;;;
CASA LA QUEBRADA;$ 1.192.854;5,5;a 32,8 km del centro;Casa de 2 habitaciones;;;;;;;;;;;
Moderno departamento en complejo premium;$ 2.177.804;9,3;a 4,5 km del centro;Departamento de 1 dormitorio;;;;;;;;;;;
THE HOTEL;$ 2.530.949;8,5;a 1 km del centro;Habitación Doble;;;;;;;;;;;
Casa Grande kempes y aeropuerto Córdoba Capital;$ 1.762.984;8;a 9,2 km del centro;Casa de 3 habitaciones;;;;;;;;;;;
Rubén Ariel melo;$ 1.234.582.587;N/A;a 3,9 km del centro;Villa de 1 dormitorio;;;;;;;;;;;
